	Opponent team names	Game date	stadiumID
145	CHC	2016-09-11T20:05:00	['Minute Maid Park', 'Houston', 'TX']
146	TEX	2016-09-12T20:10:00	['Minute Maid Park', 'Houston', 'TX']
147	TEX	2016-09-13T20:10:00	['Minute Maid Park', 'Houston', 'TX']
148	TEX	2016-09-14T20:10:00	['Minute Maid Park', 'Houston', 'TX']
149	SEA	2016-09-16T22:10:00	['Safeco Field', 'Seattle', 'WA']
150	SEA	2016-09-17T21:10:00	['Safeco Field', 'Seattle', 'WA']
151	SEA	2016-09-18T16:10:00	['Safeco Field', 'Seattle', 'WA']
152	OAK	2016-09-19T22:05:00	['O.co Coliseum', 'Oakland', 'CA']
153	OAK	2016-09-20T22:05:00	['O.co Coliseum', 'Oakland', 'CA']
154	OAK	2016-09-21T15:35:00	['O.co Coliseum', 'Oakland', 'CA']
155	LAA	2016-09-22T20:10:00	['Minute Maid Park', 'Houston', 'TX']
156	LAA	2016-09-23T20:10:00	['Minute Maid Park', 'Houston', 'TX']
157	LAA	2016-09-24T19:10:00	['Minute Maid Park', 'Houston', 'TX']
158	LAA	2016-09-25T14:10:00	['Minute Maid Park', 'Houston', 'TX']
159	SEA	2016-09-26T20:10:00	['Minute Maid Park', 'Houston', 'TX']
160	SEA	2016-09-27T20:10:00	['Minute Maid Park', 'Houston', 'TX']
161	SEA	2016-09-28T14:10:00	['Minute Maid Park', 'Houston', 'TX']
162	LAA	2016-09-30T22:05:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
163	LAA	2016-10-01T21:05:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
164	LAA	2016-10-02T15:05:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
